"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Get exercise","LMS Service","2026-08-11","passed","2026-08-11","Get entity","Exercises","",""
"","30","Create course","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Courses","",""
"","285","Get exercises","LMS Service","2026-08-11","passed","2026-08-11","Get entities","Exercises","",""
"","262","Create file with empty directory","LMS Service","2026-08-11","passed","2026-08-11","Validate entity","Files","",""
"","27","Update exercise","LMS Service","2026-08-11","passed","2026-08-11","Update entity","Exercises","",""
"","289","Create user","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Users","",""
"","21","Create file with empty filename","LMS Service","2026-08-11","passed","2026-08-11","Validate entity","Files","",""
"","297","Create exercise","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Exercises","",""
"","553","Create user","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Users","",""
"","297","Get courses","LMS Service","2026-08-11","passed","2026-08-11","Get entities","Courses","",""
"","18","Delete exercise","LMS Service","2026-08-11","passed","2026-08-11","Delete entity","Exercises","",""
"","27","Create file","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Files","",""
"","18","Get file with incorrect file id","LMS Service","2026-08-11","passed","2026-08-11","Validate entity","Files","",""
"","22","Get file","LMS Service","2026-08-11","passed","2026-08-11","Get entity","Files","",""
"","303","Update courses","LMS Service","2026-08-11","passed","2026-08-11","Update entity","Courses","",""
"","295","Delete file","LMS Service","2026-08-11","passed","2026-08-11","Delete entity","Files","",""
"","553","Create user","LMS Service","2026-08-11","passed","2026-08-11","Create entity","Users","",""
"","13","Get user me","LMS Service","2026-08-11","passed","2026-08-11","Get entity","Users","",""
"","555","Login with correct email and password","LMS Service","2026-08-11","passed","2026-08-11","Login","Authentication","",""
